cantidad,codalmacen,codfabricante,codfamilia,coste,descripcion,disponible,idproducto,idstock,precio,pterecibir,referencia,reservada,stockmax,stockmin,total,ubicacion
1,01,,13,6500,Candongas tipo dona,0,21,20,13000,0,ARE-ACE-F-001,1,0,0,6500,
0,01,,12,4000,Topos forma corazon texturizado,0,20,5,12000,0,ARE-ACE-F-002,0,0,0,0,
1,01,,13,5500,Candongas,1,22,21,11000,0,ARE-ACE-F-003,0,0,0,5500,
0,01,,13,6500,Candongas,0,23,6,13000,0,ARE-ACE-F-004,0,0,0,0,
2,01,,13,6500,Candongas esfericas,2,36,18,13000,0,ARE-ACE-F-007,0,0,0,13000,
2,01,,13,6500,Candongas esfericas,2,36,12,13000,0,ARE-ACE-F-008,0,0,0,13000,
1,01,,13,7500,Candongas huellita,1,32,16,15000,0,ARE-ROD-A-007,0,0,0,7500,
1,01,,13,7500,Candongas osito,1,33,14,15000,0,ARE-ROD-A-008,0,0,0,7500,
0,01,,13,6500,Candongas florales,0,19,11,13000,0,ARE-ROD-F-001,0,0,0,0,
1,01,,1,9800,Aretes diamantados,1,26,10,18000,0,ARE-ROD-F-002,0,0,0,9800,
1,01,,12,8600,Topos girasol,1,28,13,16000,0,ARE-ROD-F-004,0,0,0,8600,
1,01,,1,7500,Arete doble microsircon,1,29,19,15000,0,ARE-ROD-F-005,0,0,0,7500,
1,01,,13,8600,Candongas con perlas artificiales,1,30,17,17000,0,ARE-ROD-F-006,0,0,0,8600,
1,01,,1,8600,Topos forma corazon girasol,1,39,8,17000,0,ARE-ROD-F-010,0,0,0,8600,
0,01,,1,8000,Aretes media de sircones,0,41,15,16000,0,ARE-ROD-F-011,0,0,0,0,
1,01,,3,7500,Pulsera estilo cubana,1,38,7,15000,0,PUL-ACE-F-002,0,0,0,7500,
1,01,,5,14000,Set flor cristalina,0,40,9,28000,0,SET-ROD-F-002,1,0,0,14000,
